:START_ID,:END_ID
1,63e1d2aebbd11e497dc9b7a25095448f
1,7612c3293e4ae4cab755c9dbfd80f8e7
1,5c9815f07ba2bbc7dc99510b530c92d0
1,f0754c9a241ff9f67381855c4c15aa63
1,46963c9e54e50d8710d573e80bf6e32c
25,37aa362a2cb1760d806c853165484255
25,91588f8e6e01f76e38ec31e3764a4b2b
25,866e0881f56ad77a41f0e67b2f7c7e99
25,c63e4eefeb3494a632cfd31da5808986
38,deb7f006d042a395e01f8d4c4f287e3f
38,ff154afb7cdf52d42d1e81b8f753100f
38,fd96c3646a0be77c2cf2363d65665b36
52,90984dfe8cab48ee97475fc6721b97b5
60,569a5c6befddb89867f553619ed40fe7
60,fca0a071e2eeb43b094064f10417ee08
60,dd8f47afb3e3412c87647685c1173bd8
60,c9285c9d216d607a0ead0425ca16f19d
77,eaa812e03e61950b410b511b8bc272eb
77,b55cbae7a84a9060c3f428bdf62d2faf
77,a1cbafbf9ddfed1e02d75de836d8fac4
77,b10cca28821a0b2e21b9a10cd76884ed
77,d3aa28f3d8a747c16acfd1d9cb95604a
97,31fc9ff617590c54070cb92c898909a5
107,a62f62ef52209b1ba39a484114c57777
112,d0cf158097b9fc0fbd301135897d2a38
112,de592610140a97ddc81f6586eb6afd1e
112,3a6f54f46421ed93647be446f64ea82d
143,d1f5931f5cbd803bdbfc0b04e9bdceb0
151,31be3ce005eb1bb40002737dc7fb0643
151,3d15fb4d0ed4e7c45f9175dbc16dbf13
172,df684224e8d3bf6f2817aebd0c6c86d4
209,82de0d8d5aa1f765d98a523ce28ec846
209,5913ca4ceb3138892b1f79b63eeca047
217,506e9e9431582c045d79113f3948ab16
230,70c8783ef4bdd4e93e0e9b63be56b367
230,fe0641da3a28bc42a1cc7dbf45178644
248,6f703e89196c00cf76c5dabfad37829a
248,1738ddb8f47f11ff0cb96fe6cad302c2
248,ba8822bd4f357471c838f239be2a0d23
248,5521039f086041cc2495951343097889
260,6fa788a5fdeba28848c93fe2e8b70531
260,a76a038a25b684eca9a325e88b1ca16b
